ytg_bucket,total_plays,run_count,pass_count,run_pct,pass_pct,run_avg_yards_gained,pass_avg_yards_gained
1,853,668,185,78.31184056271981,21.688159437280188,3.1017964071856285,5.562162162162162
2,577,283,294,49.04679376083189,50.95320623916811,3.7102473498233217,5.282312925170068
3,589,177,412,30.050933786078097,69.9490662139219,4.757062146892656,5.405339805825243
4,568,109,459,19.190140845070424,80.80985915492958,4.669724770642202,5.095860566448802
5,545,77,468,14.128440366972477,85.87155963302752,5.064935064935065,5.213675213675214
6,539,59,480,10.946196660482375,89.05380333951763,6.711864406779661,5.629166666666666
7,469,52,417,11.087420042643924,88.91257995735607,6.153846153846154,5.5875299760191846
8,503,69,434,13.717693836978132,86.28230616302187,6.826086956521739,5.170506912442396
9,359,34,325,9.470752089136491,90.5292479108635,7.382352941176471,5.270769230769231
10,546,64,482,11.72161172161172,88.27838827838828,6.6875,6.614107883817427
11+,1253,211,1042,16.839584996009577,83.16041500399042,7.156398104265403,6.222648752399232
